327,CLCS,0,4,5
328,CLCS,1,6,9
329,CLCS,2,2,4
330,CLCS,3,8,9
331,CLCS,4,4,4
332,CLCS,5,6,7
333,CLCS,6,4,4
334,CLCS,7,8,11
335,CLCS,8,5,5
336,CLCS,9,12,12
337,CLCS,10,5,6
338,CLCS,11,8,12
339,CLCS,12,6,6
340,CLCS,13,13,14
341,CLCS,14,4,7
342,CLCS,15,13,14
343,CLCS,16,6,6
344,CLCS,17,13,13
345,CLCS,18,9,9
346,CLCS,19,13,13
347,CLCS,20,7,11
348,CLCS,21,18,18
349,CLCS,22,8,8
350,CLCS,23,18,19
351,CLCS,24,7,8
352,CLCS,25,20,20
353,CLCS,26,7,11
354,CLCS,27,18,23
355,CLCS,28,11,13
356,CLCS,29,23,23
357,CLCS,30,7,9
358,CLCS,31,23,25
359,CLCS,32,9,11
360,CLCS,33,19,26
361,CLCS,34,7,12
362,CLCS,35,18,24
363,CLCS,36,8,11
364,CLCS,37,24,28
365,CLCS,38,9,12
366,CLCS,39,25,27
367,CLCS,40,9,15
368,CLCS,41,30,30
369,CLCS,42,11,14
370,CLCS,43,27,29
371,CLCS,44,15,16
372,CLCS,45,29,31
373,CLCS,46,8,17
374,CLCS,47,21,30
375,CLCS,48,13,14
376,CLCS,49,25,31
377,CLCS,50,16,17
378,CLCS,51,32,32
379,CLCS,52,10,15
380,CLCS,53,34,37
381,CLCS,54,12,19
382,CLCS,55,30,37
383,CLCS,56,13,21
384,CLCS,57,28,40
385,CLCS,58,15,16
386,CLCS,59,36,41
387,CLCS,60,12,20
388,CLCS,61,35,37
389,CLCS,62,16,21
390,CLCS,63,37,40
391,CLCS,64,14,21
392,CLCS,65,39,42
393,CLCS,66,16,19
394,CLCS,67,37,42
395,CLCS,68,12,21
396,CLCS,69,37,44
397,CLCS,70,12,21
398,CLCS,71,40,43
399,CLCS,72,20,24
400,CLCS,73,38,43
401,CLCS,74,21,27
402,CLCS,75,34,47
403,CLCS,76,19,26
404,CLCS,77,40,46
405,CLCS,78,14,25
406,CLCS,79,48,49
407,CLCS,80,19,28
408,CLCS,81,45,51
409,CLCS,82,18,27
410,CLCS,83,50,50
411,CLCS,84,17,27
412,CLCS,85,46,53
413,CLCS,86,20,27
414,CLCS,87,51,53
415,CLCS,88,21,29
416,CLCS,89,54,56
417,CLCS,90,16,29
418,CLCS,91,53,56
419,CLCS,92,18,31
420,CLCS,93,51,53
421,CLCS,94,18,29
422,CLCS,95,51,56
423,CLCS,96,13,31
424,CLCS,97,55,61
425,CLCS,98,23,33
426,CLCS,99,52,57
427,CLCS,100,22,31
428,CLCS,101,53,60
429,CLCS,102,22,30
430,CLCS,103,65,68
431,CLCS,104,23,32
432,CLCS,105,56,62
433,CLCS,106,13,33
434,CLCS,107,56,65
435,CLCS,108,28,32
