1,Manhattan Distance Test,51,83,-55,23,166
2,Manhattan Distance Test,51,-86,38,77,176
3,Manhattan Distance Test,36,-23,20,31,70
4,Manhattan Distance Test,-14,41,38,57,68
5,Manhattan Distance Test,-42,-39,99,-43,145
6,Manhattan Distance Test,-11,-89,-20,-98,18
7,Manhattan Distance Test,-46,-87,91,79,303
8,Manhattan Distance Test,21,38,62,37,42
9,Manhattan Distance Test,-69,32,78,-46,225
10,Manhattan Distance Test,-65,-92,85,57,299
11,Manhattan Distance Test,-22,9,51,-49,131
12,Manhattan Distance Test,65,-19,65,-6,13
13,Manhattan Distance Test,58,-44,-90,87,279
14,Manhattan Distance Test,-58,-18,23,94,193
15,Manhattan Distance Test,93,-37,-36,95,261
16,Manhattan Distance Test,-31,82,19,97,65
17,Manhattan Distance Test,69,-22,-44,-46,137
18,Manhattan Distance Test,23,72,98,-97,244
19,Manhattan Distance Test,-10,50,65,-47,172
20,Manhattan Distance Test,-57,30,-24,-12,75
21,Manhattan Distance Test,-16,92,-51,60,67
22,Manhattan Distance Test,54,87,-24,9,156
23,Manhattan Distance Test,15,-12,-82,-51,136
24,Manhattan Distance Test,-48,-34,-45,93,130
25,Manhattan Distance Test,36,-45,77,30,116
26,Manhattan Distance Test,-55,11,93,42,179
27,Manhattan Distance Test,-79,-48,6,35,168
28,Manhattan Distance Test,-46,-77,38,-79,86
29,Manhattan Distance Test,62,-48,-92,55,257
30,Manhattan Distance Test,-82,-9,14,46,151
31,Manhattan Distance Test,-38,92,-40,-43,137
32,Manhattan Distance Test,-61,93,55,84,125
33,Manhattan Distance Test,-8,-81,68,-19,138
34,Manhattan Distance Test,-95,26,51,-71,243
35,Manhattan Distance Test,-8,-85,-82,10,169
36,Manhattan Distance Test,69,-12,-60,-66,183
37,Manhattan Distance Test,-43,3,68,-84,198
38,Manhattan Distance Test,29,18,-91,18,120
39,Manhattan Distance Test,88,38,83,1,42
40,Manhattan Distance Test,-47,37,-99,-93,182
41,Manhattan Distance Test,-48,43,-61,85,55
42,Manhattan Distance Test,-95,-47,-13,-59,94
43,Manhattan Distance Test,-8,21,32,41,60
44,Manhattan Distance Test,-17,-40,57,77,191
45,Manhattan Distance Test,8,90,-76,59,115
46,Manhattan Distance Test,-49,-56,24,-31,98
47,Manhattan Distance Test,76,-52,16,-18,94
48,Manhattan Distance Test,-62,-81,-29,-34,80
49,Manhattan Distance Test,-83,-15,57,-78,203
50,Manhattan Distance Test,-95,-68,82,78,323
51,Manhattan Distance Test,-20,20,-3,-37,74
52,Manhattan Distance Test,-10,-20,-10,-20,0
53,Euclidean Distance Test,51,83,-55,23,121.8031198286809
54,Euclidean Distance Test,51,-86,38,77,163.51758315239374
55,Euclidean Distance Test,36,-23,20,31,56.32051136131489
56,Euclidean Distance Test,-14,41,38,57,54.405882034941776
57,Euclidean Distance Test,-42,-39,99,-43,141.05672617780408
58,Euclidean Distance Test,-11,-89,-20,-98,12.727922061357855
59,Euclidean Distance Test,-46,-87,91,79,215.23243250030885
60,Euclidean Distance Test,21,38,62,37,41.012193308819754
61,Euclidean Distance Test,-69,32,78,-46,166.41213898030395
62,Euclidean Distance Test,-65,-92,85,57,211.42611002428248
63,Euclidean Distance Test,-22,9,51,-49,93.23625904121208
64,Euclidean Distance Test,65,-19,65,-6,13
65,Euclidean Distance Test,58,-44,-90,87,197.6486782146544
66,Euclidean Distance Test,-58,-18,23,94,138.2208377922808
67,Euclidean Distance Test,93,-37,-36,95,184.5670609832643
68,Euclidean Distance Test,-31,82,19,97,52.20153254455275
69,Euclidean Distance Test,69,-22,-44,-46,115.52056094046635
70,Euclidean Distance Test,23,72,98,-97,184.89456454963732
71,Euclidean Distance Test,-10,50,65,-47,122.61321299109652
72,Euclidean Distance Test,-57,30,-24,-12,53.41348144429457
73,Euclidean Distance Test,-16,92,-51,60,47.4236228055175
74,Euclidean Distance Test,54,87,-24,9,110.30865786510141
75,Euclidean Distance Test,15,-12,-82,-51,104.546640309481
76,Euclidean Distance Test,-48,-34,-45,93,127.03542812932147
77,Euclidean Distance Test,36,-45,77,30,85.47514258543241
78,Euclidean Distance Test,-55,11,93,42,151.21177202850313
79,Euclidean Distance Test,-79,-48,6,35,118.80235687897779
80,Euclidean Distance Test,-46,-77,38,-79,84.02380615040002
81,Euclidean Distance Test,62,-48,-92,55,185.27007313648906
82,Euclidean Distance Test,-82,-9,14,46,110.63905277974861
83,Euclidean Distance Test,-38,92,-40,-43,135.0148140020198
84,Euclidean Distance Test,-61,93,55,84,116.3486140871476
85,Euclidean Distance Test,-8,-81,68,-19,98.08159868191383
86,Euclidean Distance Test,-95,26,51,-71,175.28548142958104
87,Euclidean Distance Test,-8,-85,-82,10,120.42009799032718
88,Euclidean Distance Test,69,-12,-60,-66,139.84634424968
89,Euclidean Distance Test,-43,3,68,-84,141.0319112825179
90,Euclidean Distance Test,29,18,-91,18,120
91,Euclidean Distance Test,88,38,83,1,37.33630940518894
92,Euclidean Distance Test,-47,37,-99,-93,140.0142849854971
93,Euclidean Distance Test,-48,43,-61,85,43.965895873961216
94,Euclidean Distance Test,-95,-47,-13,-59,82.87339742040264
95,Euclidean Distance Test,-8,21,32,41,44.721359549995796
96,Euclidean Distance Test,-17,-40,57,77,138.43771162512041
97,Euclidean Distance Test,8,90,-76,59,89.5377015563835
98,Euclidean Distance Test,-49,-56,24,-31,77.1621668954417
99,Euclidean Distance Test,76,-52,16,-18,68.96375859826666
100,Euclidean Distance Test,-62,-81,-29,-34,57.42821606144492
101,Euclidean Distance Test,-83,-15,57,-78,153.52198539622916
102,Euclidean Distance Test,-95,-68,82,78,229.44498251214821
103,Euclidean Distance Test,-20,20,-3,-37,59.481089431852205
104,Euclidean Distance Test,-10,-20,-10,-20,0
105,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,1,0.0
106,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,2,20.0
107,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,3,120.0
108,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,4,180.0
109,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,5,160.0
110,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,6,60.0
111,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,7,40.0
112,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,8,100.0
113,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,9,200.0
114,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,10,140.0
115,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,11,280.0
116,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,12,60.0
117,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,13,80.0
118,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,14,100.0
119,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,15,120.0
120,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,16,260.0
121,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,17,240.0
122,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,18,220.0
123,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,19,240.0
124,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,20,140.0
125,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,21,240.0
126,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,22,220.0
127,Grid,grid.graphml,EUCLIDEAN_DISTANCE,1,23,200.0
